query_id,query,rank,score,is_relevant,book,chunk_number,text_preview
1,Who saves Bella from the van?,1,0.1556592823673219,True,data_summary,1,"1 Bella Swan moves from Phoenix, Arizona to the small town of Forks, Washington, to live with her father, Charlie. She soon notices the mysterious Cullen family at school, who seem pale, beautiful, an"
1,Who saves Bella from the van?,2,0.12682080412659988,False,data_summary,1,"1 Bella Swan moves from Phoenix, Arizona to the small town of Forks, Washington, to live with her father, Charlie. She soon notices the mysterious Cullen family at school, who seem pale, beautiful, an"
1,Who saves Bella from the van?,3,0.1187949821966745,False,data_summary,1,"1 Bella Swan moves from Phoenix, Arizona to the small town of Forks, Washington, to live with her father, Charlie. She soon notices the mysterious Cullen family at school, who seem pale, beautiful, an"
1,Who saves Bella from the van?,4,0.10466166741855604,False,twilight,1,"Isabella ""Bella"" Marie Swan moves from the ever sunny Phoenix, Arizona to rainy Forks, Washington to live with her father, Charlie, to allow her mother Renée to travel with her new husband, Phil Dwyer"
1,Who saves Bella from the van?,5,0.10429729851800455,False,twilight,1,"Isabella ""Bella"" Marie Swan moves from the ever sunny Phoenix, Arizona to rainy Forks, Washington to live with her father, Charlie, to allow her mother Renée to travel with her new husband, Phil Dwyer"
2,Which Cullen family member is a doctor?,1,0.14197295208286806,True,data_summary,1,"1 Bella Swan moves from Phoenix, Arizona to the small town of Forks, Washington, to live with her father, Charlie. She soon notices the mysterious Cullen family at school, who seem pale, beautiful, an"
2,Which Cullen family member is a doctor?,2,0.11413591351633559,False,data_summary,1,"1 Bella Swan moves from Phoenix, Arizona to the small town of Forks, Washington, to live with her father, Charlie. She soon notices the mysterious Cullen family at school, who seem pale, beautiful, an"
2,Which Cullen family member is a doctor?,3,0.10574400161411443,False,data_summary,1,"1 Bella Swan moves from Phoenix, Arizona to the small town of Forks, Washington, to live with her father, Charlie. She soon notices the mysterious Cullen family at school, who seem pale, beautiful, an"
2,Which Cullen family member is a doctor?,4,0.06920792208780226,False,newmoon,1,"In the beginning of the book, Bella is upset because it's her birthday and it will make her older than the immortal 17-year-old Edward Cullen. Much to her dismay, the Cullen family throws her a birthd"
2,Which Cullen family member is a doctor?,5,0.05738860280808746,False,newmoon,1,"In the beginning of the book, Bella is upset because it's her birthday and it will make her older than the immortal 17-year-old Edward Cullen. Much to her dismay, the Cullen family throws her a birthd"
